experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_intervals_no_heuristic,12,tight,heuristic_ablation,baseline,fixture,12,12,42.432208833361074,16.21147505329999,1216.0833333333333,34146.76443247138,0.3267451922098795,,1.0000000000000002
bruteforce_greedy,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0215999998545157,,1.0,0.0,0.006011962890625,,1.0
bruteforce_greedy,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,2.9876059166629907,1.1317778394252194,154.75,10341.618427141064,0.036609013875325495,,1.0
bruteforce_greedy,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0.7003645000243827,0.07097546422789042,25.833333333333332,15363.759784615391,0.01811408996582029,,0.9999999999999999
bruteforce_greedy,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,16.80848566665342,10.712635656129004,849.1666666666666,11721.597768790165,0.14237745602925614,,1.0
bruteforce_greedy,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.2482535000041632,0.27859748722603334,46.5,16156.375992900415,0.022385915120442686,,1.0
bruteforce_greedy,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,115.60206941665759,54.920063345939326,6180.666666666667,9708.46907860398,0.9528923034667969,,1.0
bruteforce_greedy,8,tight,bf_reference_small_n,window_stress,fixture,12,12,2.5317356666694955,0.3949162719888435,96.83333333333333,20943.085732003346,0.03217951456705727,,1.0
bruteforce_greedy,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,804.8495212500105,475.83071085468225,37916.166666666664,11755.43454085042,6.677834192911784,,1.0
bruteforce_greedy,9,tight,bf_reference_small_n,window_stress,fixture,12,12,4.8661096667122665,1.0698598626912854,179.75,24113.208737857203,0.05000543594360347,,1.0
bruteforce_greedy,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,4894.560365083332,3011.0951619937723,208794.5,13877.613746174267,37.087252616882324,,1.0000000000000002
bruteforce_greedy,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,10,tight,bf_reference_small_n,window_stress,fixture,12,12,9.810032250015865,1.7502159458624906,347.0833333333333,25599.82861260441,0.08592955271402991,,1.0
bruteforce_intervals,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0219000003198743,,1.0,0.0,0.006011962890625,,1.0
bruteforce_intervals,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,53.2788190833647,28.549216345130034,2042.0,10341.618427141064,0.33426610628763836,,1.0
bruteforce_intervals,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0.771324583297428,0.12898924107181903,25.833333333333332,15363.759784615391,0.0181159973144531,,0.9999999999999999
bruteforce_intervals,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,399.65978741668096,248.27793417375798,14775.833333333334,11721.597768790165,2.286344528198242,,1.0
bruteforce_intervals,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.31289741659657,0.26917801156733906,46.5,16156.375992900415,0.022391637166341127,,1.0
bruteforce_intervals,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,4033.2707286666696,2268.1999009996807,136602.83333333334,9708.46907860398,19.69170570373535,,1.0
bruteforce_intervals,8,tight,bf_reference_small_n,window_stress,fixture,12,12,2.648615333365948,0.36297406814523414,96.83333333333333,20943.085732003346,0.0321833292643229,,1.0
bruteforce_intervals,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,30153.916321166587,17907.418982196446,981309.8333333334,11755.43454085042,163.81326389312744,,1.0
bruteforce_intervals,9,tight,bf_reference_small_n,window_stress,fixture,12,12,4.949145333360623,1.0963267294573487,179.75,24113.208737857203,0.05001242955525711,,1.0
bruteforce_intervals,10,relaxed,bf_reference_small_n,window_stress,fixture,12,1,1202.0395445000154,4163.987127561954,417969.0,15270.079602876203,76.0479736328125,,1.0000000000000002
bruteforce_intervals,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,10,tight,bf_reference_small_n,window_stress,fixture,12,12,10.309865583167266,2.794088129656866,347.0833333333333,25599.82861260441,0.08593336741129554,,1.0
