experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,timeout_count,timeout_rate,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_intervals,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,3.5451582500248455,2.1962895015165222,16.583333333333332,9708.46907860398,0.10645238558451335,0.0,1.0
astar_intervals,8,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4.761343750071016,0.9793621980050492,82.5,20943.085732003346,0.04906670252482096,0.0,1.0
astar_intervals,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,8.390235250089972,7.187673435285344,35.416666666666664,11755.43454085042,0.24306607246398926,0.0,1.0
astar_intervals,9,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,9.657374666630858,1.9304685217021882,158.41666666666666,24113.208737857203,0.07553418477376302,0.0,1.0
astar_intervals,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,11.591493250004229,5.985374564759134,40.5,13877.61374617427,0.32523926099141437,0.0,1.0
astar_intervals,10,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,21.550637166683373,5.677826431879148,285.8333333333333,25599.828612604408,0.12874539693196616,0.0,1.0
bruteforce_greedy,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,2.9876059166629907,1.1317778394252194,154.75,10341.618427141064,0.03660901387532552,,1.0
bruteforce_greedy,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,0.7003645000243827,0.07097546422789043,25.833333333333332,15363.759784615391,0.018114089965820312,,0.9999999999999999
bruteforce_greedy,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,16.80848566665342,10.712635656129004,849.1666666666666,11721.597768790167,0.1423774560292562,,1.0
bruteforce_greedy,7,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.2482535000041632,0.2785974872260334,46.5,16156.375992900415,0.022385915120442707,,1.0
bruteforce_greedy,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,115.60206941665759,54.92006334593933,6180.666666666667,9708.46907860398,0.9528923034667969,,1.0
bruteforce_greedy,8,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,2.5317356666694955,0.39491627198884355,96.83333333333333,20943.085732003346,0.03217951456705729,,1.0
bruteforce_greedy,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,804.8495212500105,475.83071085468225,37916.166666666664,11755.43454085042,6.677834192911784,,1.0
bruteforce_greedy,9,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4.8661096667122665,1.0698598626912854,179.75,24113.208737857203,0.050005435943603516,,1.0
bruteforce_greedy,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4894.560365083332,3011.0951619937723,208794.5,13877.61374617427,37.087252616882324,,1.0
bruteforce_greedy,10,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,9.810032250015865,1.7502159458624906,347.0833333333333,25599.828612604408,0.08592955271402995,,1.0
bruteforce_intervals,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,53.2788190833647,28.549216345130034,2042.0,10341.618427141064,0.33426610628763836,,1.0
bruteforce_intervals,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,0.771324583297428,0.12898924107181903,25.833333333333332,15363.759784615391,0.018115997314453125,,0.9999999999999999
bruteforce_intervals,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,399.65978741668096,248.27793417375804,14775.833333333334,11721.597768790167,2.286344528198242,,1.0
bruteforce_intervals,7,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.31289741659657,0.26917801156733906,46.5,16156.375992900415,0.022391637166341145,,1.0
bruteforce_intervals,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4033.2707286666696,2268.1999009996807,136602.83333333334,9708.46907860398,19.69170570373535,,1.0
bruteforce_intervals,8,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,2.648615333365948,0.36297406814523414,96.83333333333333,20943.085732003346,0.032183329264322914,,1.0
bruteforce_intervals,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,30153.916321166584,17907.418982196446,981309.8333333334,11755.43454085042,163.81326389312744,,1.0
bruteforce_intervals,9,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4.949145333360623,1.0963267294573487,179.75,24113.208737857203,0.050012429555257164,,1.0
